Year	iYear	iGDP	iL	iK	iQ	iX	iU	Country
1900	0	1	1	1	1	1	1	US
1901	1	1.112582781	1.031528844	1.03180212	1.070481247	1.071567474	1.075111315	US
1902	2	1.124172185	1.055988353	1.067137809	1.114740905	1.116434667	1.124662733	US
1903	3	1.178807947	1.073753964	1.109540636	1.25211565	1.257376559	1.229887038	US
1904	4	1.163907285	1.079332673	1.144876325	1.251166055	1.25553214	1.242388396	US
1905	5	1.25	1.121707818	1.173144876	1.360614623	1.367497811	1.412900079	US
1906	6	1.394039735	1.17590084	1.219081272	1.415159277	1.422914473	1.480116926	US
1907	7	1.415562914	1.197517989	1.268551237	1.587762429	1.599879187	1.664934663	US
1908	8	1.299668874	1.147711399	1.307420495	1.457303526	1.464353279	1.461037801	US
1909	9	1.458609272	1.210604098	1.339222615	1.575214345	1.584857172	1.667979157	US
1910	10	1.473509934	1.229900956	1.378091873	1.693504694	1.705717055	1.800898535	US
1911	11	1.521523179	1.239775554	1.424028269	1.68368493	1.694653705	1.813987849	US
1912	12	1.592715232	1.269495386	1.459363958	1.785050283	1.798261318	1.980649717	US
1913	13	1.655629139	1.287064249	1.501766784	1.88093471	1.895983562	2.098222462	US
1914	14	1.528145695	1.255095863	1.54770318	1.787279244	1.798181251	1.97046324	US
1915	15	1.571192053	1.248549246	1.586572438	1.841452115	1.853078583	2.149892925	US
1916	16	1.78807947	1.307899839	1.61130742	1.983678946	1.998769937	2.503371535	US
1917	17	1.743377483	1.292176061	1.653710247	2.145127185	2.164210232	2.72077233	US
1918	18	1.900662252	1.280638348	1.699646643	2.225917174	2.247036429	2.817293778	US
1919	19	1.917218543	1.269356051	1.738515901	1.977537006	1.990092578	2.34832192	US
1920	20	1.899006623	1.301438744	1.777385159	2.209005032	2.227423589	2.638390085	US
1921	21	1.855960265	1.118574988	1.802120141	1.933140932	1.9425986	2.120718176	US
1922	22	1.958609272	1.226856438	1.816254417	2.000439365	2.010926885	2.242063027	US
1923	23	2.216887417	1.353786511	1.851590106	2.377122185	2.397098807	2.649914345	US
1924	24	2.284768212	1.286667982	1.901060071	2.279203809	2.29530536	2.568691978	US
1925	25	2.337748344	1.362294893	1.943	2.321179804	2.337526766	2.688463415	US
1926	26	2.490066225	1.412643506	2.021640003	2.461992659	2.481610668	2.77863963	US
1927	27	2.514900662	1.413525857	2.093515275	2.413827559	2.430707938	2.779107449	US
